cputime (s);cputime (s);;;;cpu time;cpu time
8565990306,00;842845907,00;;;;8,57;0,842845907
8598390108,00;799616885,00;;;;8,60;0,799616885
5854554233,00;6256000786,00;;;;5,85;6,256000786
6112187821,00;7782182883,00;;;;6,11;7,782182883
6892660001,00;5784844491,00;;;;6,892660001;5,784844491
6417342055,00;6314077571,00;;;;6,417342055;6,314077571
6324239216,00;6380492482,00;;;;6,324239216;6,380492482
9649305607,00;27197430081,00;;;;9,649305607;27,19743008
7198960501,00;6048086218,00;;;;7,198960501;6,048086218
11208781833,00;9974811782,00;;;;11,20878183;9,974811782
1611340336,00;151985361112,00;;;;1,611340336;151,9853611
12326783457,00;15757824459,00;;;;12,32678346;15,75782446
17517840974,00;41896664309,00;;;;17,51784097;41,89666431
12478019906,00;31640620327,00;;;;12,47801991;31,64062033
9617787975,00;17217878637,00;;;;9,617787975;17,21787864
8493888898,00;17643839533,00;;;;8,493888898;17,64383953
9405124428,00;17925379606,00;;;;9,405124428;17,92537961
8089524811,00;12818941253,00;;;;8,089524811;12,81894125
9600456235,00;16917187509,00;;;;9,600456235;16,91718751
7281604157,00;1173959242,00;;;;7,281604157;1,173959242
7414446845,00;9012886269,00;;;;7,414446845;9,012886269
6360663651,00;9204979485,00;;;;6,360663651;9,204979485
5913108037,00;5946250702,00;;;;5,913108037;5,946250702
5548162866,00;6424390986,00;;;;5,548162866;6,424390986
5651813371,00;6218865978,00;;;;5,651813371;6,218865978
5557612307,00;5669045503,00;;;;5,557612307;5,669045503
7202385942,00;6559022528,00;;;;7,202385942;6,559022528
