memUsage;memUsage PDR
257343488;245383168
256933888;242221056
188616704;197419008
200089600;204742656
205078528;225038336
211755008;198488064
209944576;202891264
209473536;210178048
320028672;908222464
209248256;199593984
463126528;658243584
692973568;2820706304
548179968;991715328
720723968;2786111488
544104448;1875898368
321417216;1103814656
278495232;1072934912
329105408;1076981760
277618688;669282304
333656064;1099563008
214335488;671428608
215056384;336502784
211255296;246677504
198377472;196202496
197537792;201576448
199270400;201359360
197689344;195698688
216805376;206860288
